artists,spotify_id,monthly_listeners
Los Pirañas,1TWdamQsAiOgB0szQsMSeq,15100
Orquestra Afrosinfônica,5L28JP0Fiegz0AJe2Cy2ly,27200
Makavelli,3GKyBNSYZ6aufV6Bij30U4,0
Jaymitta,2FjtiARjBsSIR7diQtYeAT,0
Buguinha Dub,2XEe5tiTUJbMnBQbaFWguL,12700
Curumin,1W1k6LUPDR0l4zwvKR4YLI,234300
Edgar,0ZeTpaHiNCZFAuQ7v1fZ7Z,14300
Los Amigos Invisibles,5x3mrCTZmkoTXURN7pWdGN,2600000
Gal Costa,1b8kpp4DUwt1hWaxTiWQhD,3200000
Metá Metá,2JmW0VFQ6nJ8eMc3HKPeiF,65700
Cássia Eller,10naVTwNjE50daQVrN0bXh,4000000
Samba de Lata de Tijuaçú,0XncfxE1QfxyHrFDvrXMWc,0
VANDAL,5h4q1RQZ3TrsU4fImHo11r,83300
Mandrill,6RWnslEkqboHbDg0OUabe5,112700
Luedji Luna,0sWTkzCrdEvuX7Du6MFLzc,2000000
As Ganhadeiras de Itapuã,6RvtIoZAX7XyMEdd5WlG2L,18400
Hugh Masekela,1b3F5FI7TX4IWTNA4P1kWp,405200
Manu Dibango,30UIjoCGuL3Fa5BOc3ayNW,335800
Ernest Ranglin,6RTCb5pWKinqlUyG2qacit,209000
Calle 13,0yNSzH5nZmHzeE2xn6Xshb,8600000
El Michels Affair,0cLrgpG3pW4MX4nD8h6qCc,821500
Ali Farka Touré,3mNygoyrEKLgo6sx0MzwOL,512799
Toumani Diabaté,2nCACYdIndYchzX4bxLcTW,750500
Antonio Carlos & Jocafi,6we2u0wHu4S9H6A1LVZ6LA,328600
Ferraz,01VsXNrszWERedrdHgRVH2,309900
Afrocidade,1kbDI5eg73ftGzwOf4OKZL,32600
OQuadro,4VTl5tjAkjNTiiIwqfH6Wq,9100
Dimak,7iEikKLHjwwpLEaNvolFnB,0
Nomade Orquestra,0empAFasxmO94e7zJOurTf,21300
Russo Passapusso,4Rgs2uEA4ZPVrfSGTcFvVm,114600
Nação Zumbi,4Va55p3P2P96lIgzntievo,704600
Romperayo,1Ey12Gi2P3PNPBsz39cncu,16800
William Onyeabor,755pQSGUy6rtPrUCbnJTvi,226700
Carolaine,74xOEeQrskQLkzcn0upDue,0
Bixiga 70,6rUeHFntOV8tgpoUJvEthU,53200
Orquestra Brasileira de Música Jamaicana,28RBIZhnFFXuj6ST2ELsMS,14400
Tony Allen,6JpZEemWmunccsrHXFUOgi,230000
Gugu Shezi,6ERuzJ5niL7hoKwYzqVBfp,0
CalledOut Music,3VY7IlU2547DIC1ca88lRH,466800
Bang Data,1z0s3ikCPDZcV6ppW7ER6b,43000
QUITAPENAS,64NFwIwtxjxfrmg8Fro1HD,4000
Morbo y Mambo,5BQDGBWMoSYmYQuABh7JP1,17900
Letta Mbulu,7iwwcDXXToUdUoDYP70EA0,261300
Damon Albarn,0O98jlCaPzvsoei6U5jfEL,213900
Subhira,08Gqx6zasvaeENYIGcJyDC,1600
La Misa Negra,0Q6BYEUIIzKDzxFd4sRD8h,4600
Demian Rodríguez,5rJG5I7ZC5C51fXEyV5E6V,22400
Newen Afrobeat,0PTJ848ulShbjTx2yqaAlb,26400
